epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.3583,3.58632,0.15385,0.44755,3.14414,8.73529e-05,8.73529e-05,8.73529e-05
2,20.2256,2.93413,0.63636,0.93007,2.04355,0.000173841,0.000173841,0.000173841
3,28.4981,2.12136,0.83217,0.97902,1.03301,0.000256766,0.000256766,0.000256766
4,35.8596,1.39054,0.83916,1,0.5188,0.000253962,0.000253962,0.000253962
5,43.9855,1.04936,0.85315,1,0.37546,0.000248616,0.000248616,0.000248616
6,51.6351,0.75337,0.90909,1,0.23101,0.00024327,0.00024327,0.00024327
7,59.3366,0.66282,0.90909,1,0.21929,0.000237924,0.000237924,0.000237924
8,67.1267,0.5791,0.91608,1,0.21803,0.000232578,0.000232578,0.000232578
9,75.0591,0.47248,0.90909,1,0.19082,0.000227232,0.000227232,0.000227232
10,82.5389,0.48261,0.93706,1,0.17487,0.000221886,0.000221886,0.000221886
11,89.8793,0.42067,0.93706,1,0.13503,0.00021654,0.00021654,0.00021654
12,97.4487,0.37898,0.93706,1,0.17072,0.000211194,0.000211194,0.000211194
13,105.669,0.32421,0.95804,1,0.11547,0.000205848,0.000205848,0.000205848
14,112.567,0.32893,0.95105,1,0.12346,0.000200502,0.000200502,0.000200502
15,120.591,0.33067,0.94406,1,0.22324,0.000195156,0.000195156,0.000195156
16,128.641,0.27245,0.95804,1,0.11428,0.00018981,0.00018981,0.00018981
17,136.514,0.33915,0.93007,1,0.16268,0.000184464,0.000184464,0.000184464
18,144.265,0.30671,0.96503,1,0.10844,0.000179118,0.000179118,0.000179118
19,151.6,0.23915,0.97902,1,0.08678,0.000173772,0.000173772,0.000173772
20,160.089,0.24243,0.96503,1,0.09309,0.000168426,0.000168426,0.000168426
21,167.286,0.2839,0.97203,1,0.10712,0.00016308,0.00016308,0.00016308
22,174.91,0.22149,0.97902,1,0.07793,0.000157734,0.000157734,0.000157734
23,182.617,0.19192,0.97902,1,0.08762,0.000152388,0.000152388,0.000152388
24,190.524,0.16497,0.96503,1,0.14364,0.000147042,0.000147042,0.000147042
25,198.416,0.18125,0.97203,1,0.08717,0.000141696,0.000141696,0.000141696
26,206.327,0.19325,0.97902,1,0.06761,0.00013635,0.00013635,0.00013635
27,214.056,0.17172,0.98601,1,0.06467,0.000131004,0.000131004,0.000131004
28,221.644,0.17132,0.98601,1,0.07474,0.000125658,0.000125658,0.000125658
29,229.475,0.18338,0.97203,1,0.08599,0.000120312,0.000120312,0.000120312
30,237.342,0.19462,0.96503,1,0.10194,0.000114966,0.000114966,0.000114966
31,245.501,0.12768,0.97902,1,0.08746,0.00010962,0.00010962,0.00010962
32,252.848,0.14084,0.97902,1,0.10587,0.000104274,0.000104274,0.000104274
33,260.634,0.14169,0.97902,1,0.08521,9.8928e-05,9.8928e-05,9.8928e-05
34,268.482,0.13949,0.97203,1,0.08886,9.3582e-05,9.3582e-05,9.3582e-05
35,275.862,0.1567,0.97902,1,0.08221,8.8236e-05,8.8236e-05,8.8236e-05
36,283.647,0.11139,0.98601,1,0.06882,8.289e-05,8.289e-05,8.289e-05
37,291.132,0.12057,0.97902,1,0.08557,7.7544e-05,7.7544e-05,7.7544e-05
38,298.821,0.1523,0.97203,1,0.10112,7.2198e-05,7.2198e-05,7.2198e-05
39,306.368,0.14165,0.97203,1,0.08803,6.6852e-05,6.6852e-05,6.6852e-05
40,314.441,0.16374,0.97902,1,0.09416,6.1506e-05,6.1506e-05,6.1506e-05
41,325.163,0.11609,0.97902,1,0.07024,5.616e-05,5.616e-05,5.616e-05
42,332.716,0.10845,0.97902,1,0.08664,5.0814e-05,5.0814e-05,5.0814e-05
43,340.397,0.08799,0.97902,1,0.0707,4.5468e-05,4.5468e-05,4.5468e-05
44,348.473,0.12394,0.97902,1,0.06975,4.0122e-05,4.0122e-05,4.0122e-05
45,356.548,0.10266,0.97902,1,0.08431,3.4776e-05,3.4776e-05,3.4776e-05
46,363.813,0.11668,0.97203,1,0.09356,2.943e-05,2.943e-05,2.943e-05
47,372.012,0.09243,0.97902,1,0.09441,2.4084e-05,2.4084e-05,2.4084e-05
48,379.868,0.11209,0.97902,1,0.07834,1.8738e-05,1.8738e-05,1.8738e-05
49,387.644,0.09755,0.97902,1,0.07547,1.3392e-05,1.3392e-05,1.3392e-05
50,395.33,0.08912,0.97902,1,0.08197,8.046e-06,8.046e-06,8.046e-06
